NgayDangBan,Id_NguoiDangban,NguoiDangban,LoaiBDS,Tinh,Huyen,Xa,DiaChi,TongGia,Gia/m2,MaTin,DienTich,ChieuDai,ChieuRong,Huong,PhongNgu,PhongTam,MoTa,id,GiayToPhapLy,TienIchLanCan,DuongVaoBds,ViTri,HuongBanCong,NamXayDung,HienTrangNha,TrangThaiSuDung,TienIchToaNha,HangXom,AnNinh,DuongVao,SoTang,KetCau,"NoiThat,TienNghi"
"11/07/2022, 18:38",133,Nguyễn Quốc Phụng,Biệt thự,Quảng Nam,Thị xã Điện Bàn,Phường Điện Ngọc,"Phường Điện Ngọc, Thị xã Điện Bàn, Quảng Nam",29 tỷ,122.36 triệu/m²,15447,237 m²,--,--,--,--,--,"- Số lượng giới hạn chỉ 10 căn duy nhất được mở bán độc nhất trên cung đường du lịch tỷ đô Đà Nẵng - Hội An. Sở hữu vị trí 'mặt tiền vàng' đối diện sân golf Montgomerie Danang.
-------------------------------------------------
- Lợi ích kép với 2 dòng thu nhập:
+ Diện tích thương mại (shop) gần 600 triệu/năm.
+ Biệt thự 2PN (villa) tham gia chương trình vận hành của Marriott International chia sẻ doanh thu 60 % - 40%.
---------------------------------------------------
- Chương trình cam kết thuê lại Diện tích thương mại (shop) lên tới 10 năm và thanh toán doanh thu 5 năm đầu 1 lần cho khách hàng (gần 3 tỷ) sau khi nhận bàn giao.
- Chính sách hỗ trợ vay ngân hàng hấp dẫn, thanh toán chỉ 10%, lãi suất 0% và ân hạn nợ gốc tới tháng 06/2024. Booking định danh có hoàn lại:
300 triệu - Villa (biệt thự).",1657539507,,,,,,,,,,,,,,,
"11/07/2022, 18:32",133,Nguyễn Quốc Phụng,Biệt thự,Quảng Nam,Thị xã Điện Bàn,Phường Điện Ngọc,"Phường Điện Ngọc, Thị xã Điện Bàn, Quảng Nam",29 tỷ,122.36 triệu/m²,15446,237 m²,--,--,--,--,--,"Tổng quan:
- Chủ đầu tư: MB Tonkinland.
- Đơn vị quản lí và vận hành: Marriott International.
1. Vị trí dự án.
- Nằm trên tuyến đường biển Đà Nẵng, ngay nút giao giữa Đà Nẵng - Hội An. - Đối diện sân Golf Montgomerielinks.
-----------------------------------
2. Quy mô: 8ha.
3. Số lượng: 63 căn biệt thự biển và 1 toà căn hộ 149 căn. Đặc quyền chủ sở hữu;. - Được quản lí và vận hành bởi tập đoàn Top 1 thế giới Marriott. - Sử dụng toàn bộ tiện ích Resort 6 sao đẳng cấp Marriott International. - Thanh toán ưu việc chỉ 20% (Khoản 3 tỷ) tới lúc nhận bàn giao nhà. - Chiết khấu lên tới 9% dành cho khách hàng thanh toán nhanh. - Hỗ trợ lãi suất 0% và ân hạn nợ gốc lên tới 24 tháng kể từ ngày ký HĐMB. - Tặng gói trải nghiệm 4 ngày 3 đêm dành cho 2 người tại Le Méridien Singapore Sentosa. - Cam kết vận hành và thuê lại với mực giá cực khủng.",1657539175,,,,,,,,,,,,,,,
"11/07/2022, 18:30",133,Nguyễn Quốc Phụng,Biệt thự,Quảng Nam,Thị xã Điện Bàn,Phường Điện Ngọc,"Phường Điện Ngọc, Thị xã Điện Bàn, Quảng Nam",28 tỷ,118.14 triệu/m²,15445,237 m²,--,--,--,--,--,"Dự án toạ lạc trên tuyến đường triệu đô Võ Nguyên Giáp - Lạc Long Quân, nằm ngay nút giao giữa Đà Nẵng - Hội An, đối diện 2 sân golf: Montgomerie Links và BRG đẳng cấp thế giới. Duy nhất 63 căn biệt thự mang thương hiệu Le Meridien đầu tiên ở Châu Á.
Le Manoir: 700m2 4PN.
L Océan Villa: 500m2 4PN.
La Plage Villa: 300m2 320 m2 3PN.
La Colline Villa: 335m2 3PN.
Le Lagon Villa: 237m2 3PN.
La Boutique Villa: 220m2 2PN. * Tiện ích: Nhà hàng mặt biển, All day Dinning Restaurant, hồ bơi vô cực mặt biển, hồ bơi trẻ em, hồ bơi người lớn, khu vui chơi nước trẻ em, phòng tập gym, detox spa, khu vực sự kiện ngoài trời, Le Méridien Hub (Lounge & Bar), trung tâm hội nghị 3.000 m2. * CSBH áp dụng duy nhất cho 20 căn mở bán giai đoạn 1, thanh toán chỉ 10% tương đương 3 tỷ đồng để sở hữu biệt thự Le Méridien được trang bị full nội thất đo ni đóng giày và được vận hành bởi tập đoàn Marriott International. * Chương trình hỗ trợ lãi suất 0% và ân hạn nợ gốc lên tới 24 tháng kể từ ngày ký HĐMB (10%). Khách hàng không phải thanh toán gì trong 24 tháng từ tháng 6/2022 tới tháng 6/2024. * Chủ đầu tư hỗ trợ chuyển nhượng khi thanh toán đủ 10% và ký HĐMB, cơ hội 'lướt sóng' không thể bỏ lỡ. * Cam kết thuê lại 10 năm đối với phần diện tích thương mại của Boutique Villa và thanh toán doanh thu 5 năm đầu 1 lần sau khi nhận bàn giao (gần 3 tỷ đồng). * Sở hữu 30 đêm nghỉ dưỡng hàng năm cùng chương trình chia sẻ doanh thu tỉ lệ 60 - 40 với đơn vị vận hành. * Tặng gói trải nghiệm 4 ngày 3 đêm dành cho 2 người tại Le Méridien Singapore Sentosa. * Chương trình chiết khấu lên tới 9% dành cho khách hàng thanh toán nhanh.
* Quyền ưu tiên chọn mua căn hộ hạng sang Le Méridien (căn hộ có thang máy riêng đầu tiên và duy nhất tại Đà Nẵng) với mức giá ưu đãi 5%.
-----------------------------------------------------------.",1657539023,,,,,,,,,,,,,,,
"11/07/2022, 18:28",133,Nguyễn Quốc Phụng,Biệt thự,Quảng Nam,Thị xã Điện Bàn,Phường Điện Ngọc,"Phường Điện Ngọc, Thị xã Điện Bàn, Quảng Nam",27 tỷ,113.92 triệu/m²,15444,237 m²,--,--,--,--,--,"Le Meridien Residences Danang - Biệt thự mang thương hiệu Le Meridien đầu tiên tại Châu Á, và thứ 2 của thế giới. Le Meridien Resort & Spa là dự án độc quyền bên bờ biển bao gồm Khu căn hộ cao cấp và Khu nghỉ dưỡng 5 sao.
- Kiến trúc - nội thất đậm chất nghệ thuật và giàu tính di sản.
- Cộng đồng tinh hoa toàn cầu. Vị trí:
Dự án Le Meridien Danang tọa lạc trên một khu đất hoang sơ rộng 8 ha ven biển, giáp ranh giữa Đà Nẵng và Hội An.
Vị trí tuyệt vời này có tầm nhìn ngoạn mục ra Ngũ Hành Sơn, Biển Đông, Cù Lao Chàm và chắc chắn sẽ trở thành một địa chỉ cao cấp tại Đà Nẵng.
Chỉ cách sân bay quốc tế Đà Nẵng 15 phút đi xe và đối diện với hai sân gôn đẳng cấp thế giới: Montgomerie Links do Colin Montgomerie thiết kế và The Dunes Course do Greg Norman thiết kế, chắc chắn đây sẽ trở thành một trong những địa điểm lưu trú yêu thích của các gôn thủ. Thông tin dự án.
- Tổng diện tích: 79.764m2.
- Dự kiến bàn giao: Q4/2023.
- Đơn vị quản lý vận hành: Marriott International.
- Thương hiệu: Le Méridien.
- Đơn vị phát triển: IFF Holdings.
- Mật độ xây dựng: 23.1% - 8000m2 mặt nước.
- Khách sạn: 12 tầng 320 phòng, 16 villa.
- Biệt thự: 63 căn. Tiện ích:
Tất cả chủ sở hữu và cư dân của Le Meridien Resort & Spa sẽ có thể tận hưởng các tiện ích độc quyền của khu nghỉ dưỡng và là điểm đến không giới hạn bởi bãi biển riêng khép kín và hồ bơi, cùng với tất cả các tiện ích của nó bao gồm Le Meridien Hub, Trung tâm Spa & Thể dục, Tất cả các hoạt động ban ngày tại The Beachfront Restaurant, Pool Bar, Grand Ballroom, v. V. Tất cả những tiện ích này một phần nào làm cho khu resort trở thành một nơi hoàn hảo để thư giãn và nghỉ dưỡng.. Loại biệt thự.
63 căn biệt thự định danh Le Meridien đầu tiên tại Châu Á.
Giá chỉ định bao gồm gói nội thất đầy đủ:
- Biệt thự đồi - La Lagoon Villa (237,5m2) ~ 29 tỷ.
- Biệt thự trên đồi - La Colline Villa (335m2) ~ 38,5 tỷ.
- Biệt thự biển - La Plage Villa (300m2) ~ 42,6 tỷ.
- Biệt thự biển - La Plage Villa (320m2) ~ 45,5 tỷ.
- Biệt thự mặt tiền biển - L' Océan Villa (500m2) ~ 80 tỷ.
- Biệt thự Tổng thống - La Manoir Villa (700m2).
- Biệt thự shophouse - La Boutique Villa (220m2) ~ 45 tỷ. Quyền lợi chủ sở hữu.
- Tham gia chương trình cam kết thuê 10 năm của đơn vị vận hành đối với khách hàng mua La Boutique Villa.
- Tham gia chương trình Chia sẻ doanh thu cho thuê 40 - 60 với đơn vị vận hành.
- 3 năm thẻ hạng Bạch Kim - Club Marriot.
- 30 đêm nghỉ dưỡng hàng năm. Lịch thanh toán.
- Thanh toán 32% trong năm 2022.
- Thanh toán 63% trong năm 2023.
- Bàn giao giấy Chứng nhận quyền sở hữu thanh toán 5%.
- Ngân hàng hỗ trợ vay 75%.
- Ngân hàng cho vay: VP Bank. Chương trình ưu đãi.
- Tặng 1 món quà mang thương hiệu Hermes trị giá tương đương 70,000,000 vnd.
- Rút thăm trúng thưởng Xe Land Rover trị giá 5 tỷ đồng dành cho 01 chủ nhân may mắn nhất sở hữu căn biệt thự Le Méridien Residences Danang.
- Chủ nhân được sở hữu 30 đêm mỗi năm.",1657538936,,,,,,,,,,,,,,,
"11/07/2022, 18:27",133,Nguyễn Quốc Phụng,Đất bán,Lâm Đồng,TP. Bảo Lộc,Phường B'lao,"Phường B'lao, TP. Bảo Lộc, Lâm Đồng",2.61 tỷ,18 triệu/m²,15443,145 m²,--,--,--,--,--,"👉🏻Pháp lý chuẩn, đất thổ cư, sổ hồng riêng công chứng ngay.
👉🏻Diện tích nền đa dạng: 100m2 - 125m2- 175m2 ( thổ cư có sẵn ).

👉🏻Đường nội khu: đường nhựa 6m, vỉa hè 2m, sẵn đường điện trước đất.
👉🏻Tiện ích xung quanh: Chợ, Bách Hóa Xanh, Cây xăng Petro, TT thương mại, trường học, bệnh viện, TT hành chính, 3 công viên nội khu 10.000 m2, nhà văn hoá,..
👉🏻Pháp lý: 100% sổ hồng riêng, sở hữu lâu dài.
------------------------------------
TẠI SAO PHẢI ĐẦU TƯ VÀO LỘC AN ?
👉🏻Sát nhập vào TP.Bảo Lộc - định hướng phát triển lên thị trấn- Lộc An thuộc 5 xã sẽ sát nhập vào TP.Bảo Lộc trong lộ trình mở rộng TP theo QĐ số: 1364/QĐ-UBND
👉🏻Xã duy nhất có trục Quốc Lộ 20 cắt ngang và liền kề điểm ra cao tốc- Lộc An là xã duy nhất của Huyện Bảo Lâm có trục Quốc lộ 20 đi ngang (trục QL20 là trục huyết mạch của Lâm Đồng) giao thông di chuyển thuận lợi, thì hàng hoá , kinh tế phát triển theo.
👉🏻Lộc An thuộc khu quy hoạch của các chủ đầu tư lớn khảo sát đầu tư

.",1657538821,,,,,,,,,,,,,,,
"11/07/2022, 18:26",1532,Kim Phương,Nhà riêng,TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 12,"Ngô Đức Kế, Phường 12, Quận Bình Thạnh, TP. Hồ Chí Minh",4.4 tỷ,146.67 triệu/m²,15442,30 m²,--,--,--,--,--,"- Nhà bán Ngô Đức Kế, Phường 12, Quận Bình Thạnh. - DT: 3.4 x 9m, công nhận 28m2. - Thiết kế Trệt + 2 Lầu. 2pn + 2wc. Nhà mới dọn vào ở ngay. - Hẻm trước nhà 3.5m xe hơi đậu cửa, khu an ninh, sạch sẻ, thoáng mát,.. - Nhà hướng Tây Nam. - Bán: 4 tỷ 400 triệu (thương lượng). - Kim Phương (zalo / đt) xem nhà.",1657538779,,,,,,,,,,,,,,,
"11/07/2022, 18:22",133,Nguyễn Quốc Phụng,Đất bán,Lâm Đồng,TP. Bảo Lộc,Phường B'lao,"Phường B'lao, TP. Bảo Lộc, Lâm Đồng",2.61 tỷ,18 triệu/m²,15441,145 m²,--,--,--,--,--,"Tuyệt tác nghỉ dưỡng - Trở về B’Lao xưa 
Nơi mà bạn được sống chậm lại, hòa mình vào thiên nhiên xanh mát.
Nằm ngay mặt tiền đường Đoàn Thị Điểm, gần Trung tâm TP Bảo Lộc và thuận tiện cho việc đi lại. 
Được đầu tư bài bản về cảnh quan, hứa hẹn là địa điểm check-in mới cho giới trẻ.
Giá chỉ từ 1tỷ- 1tỷ4 
Diện tích: 145 - 250m2
Hạ tầng hoàn hiện: đường nhựa, điện âm, đèn năng lượng mặt trời, giếng khoan,..
Tiện ích cảnh quan: quán cà phê check-in, nhà Rông, nhà điều hành, sale gallery
Nhận giữ chỗ ưu tiên chọn vị trí đẹp và nhận chiết khấu ( 30tr/nền) có hoàn lại, có sổ nhận chuyển cọc.
---------------------------------------

.",1657538572,,,,,,,,,,,,,,,
"11/07/2022, 18:19",4106,Thân Tú,Đất bán,Tây Ninh,Huyện Dương Minh Châu,Xã Suối Đá,"Xã Suối Đá, Huyện Dương Minh Châu, Tây Ninh",470 triệu,2.35 triệu/m²,15440,200 m²,--,--,--,--,--,"Kẹt tiền bán gấp đất xã Suối đá - Dương Minh Châu, Tây Ninh.
Loại đất: Đất trồng cây hàng năm khác, có sổ riêng từng nền.
Diện tích: 5x40m = 200m2, view mặt tiền kênh thoáng mát, cách ĐT781 chỉ 500m, xe ô tô vào tận đất. Đường xe máy thông ra chợ Thị trấn Dương Minh Châu và công viên Dương Minh Châu.
Vị trí cận kề khu du lịch núi Bà Đen và Hồ Dầu Tiếng, mua đầu tư rất có lợi, tiềm năng tăng giá cao. Khoảng cách chỉ mất 2,5 giờ lái xe từ sài gòn đến vị trí đất.
Giá bán 470tr bao ra sổ.
Liên hệ gặp chính chủ để biết thêm thông tin.",1657538368,Sổ hồng,"['Công viên', 'Nhà văn hóa', 'Chợ', 'Khu du lịch', 'Gần sông', 'Gần suối', 'Gần núi']","['Đường trải nhựa', 'Đường bê tông']",,,,,,,,,,,,
"11/07/2022, 18:14",1535,Lê Việt,Nhà riêng,TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 12,"Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, TP. Hồ Chí Minh",4.6 tỷ,131.43 triệu/m²,15439,35 m²,--,--,--,--,--,"- Nhà đẹp đường Huỳnh Văn Bánh, Phường Sơn Kỳ, Quận Phú Nhuận. - Hẻm 3m Gần chợ Phú Nhuận. DT 3.5m x 10m 1 trệt, 1 lầu đúc thật bê tông cốt thép, 1 phòng khách, 2 phòng ngủ, 2WC, 1 hòn non bộ, 1 giếng trời, cầu thang đúc đá hoa cương. - Nội thất đầy đủ: 2 máy lạnh, tủ lạnh, máy giặt , tủ quần áo, bàn ghế sopha. - Giá bán 4.6 Tỷ còn bớt. - Liên hệ: Lê Việt, để xem nhà.",1657538090,,,,,,,,,,,,,,,
"11/07/2022, 17:59",3657,Thúy Vy,Nhà riêng,TP. Hồ Chí Minh,Quận Tân Phú,Phường Sơn Kỳ,"Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú, TP. Hồ Chí Minh",4.4 tỷ,146.67 triệu/m²,15437,30 m²,--,--,--,--,--,"- Nhà bán Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú. - DT: 3.4 x 9m, công nhận 28m2. - Thiết kế Trệt + 2 Lầu. 2pn + 2wc. Nhà mới dọn vào ở ngay. - Hẻm trước nhà 3.5m xe hơi đậu cửa, khu an ninh, sạch sẻ, thoáng mát,.. - Nhà hướng Tây Nam. - Bán: 4 tỷ 400 triệu (thương lượng). - Thúy Vy (zalo / đt) xem nhà.",1657537193,,,,,,,,,,,,,,,
